epochs,test loss,train loss,test acc,train acc
1.0,1.6878939867019653,1.6838682889938354,0.8110644257703081,0.8146103896103896
2.0,1.6350675821304321,1.626900315284729,0.8338235294117647,0.8432178932178932
3.0,1.6252179145812988,1.6149333715438843,0.8390056022408964,0.850036075036075
4.0,1.5492126941680908,1.5396133661270142,0.9222689075630253,0.9325036075036075
5.0,1.530731439590454,1.5185978412628174,0.9346638655462185,0.9475108225108225
6.0,1.5184195041656494,1.505711317062378,0.9456582633053221,0.9591269841269842
7.0,1.5153313875198364,1.5011926889419556,0.9484593837535014,0.9626262626262626
8.0,1.513924241065979,1.49892258644104,0.9485994397759103,0.964033189033189
9.0,1.5090879201889038,1.4940013885498047,0.9533613445378152,0.9686868686868687
10.0,1.5068477392196655,1.4906142950057983,0.9550420168067227,0.9718975468975469
11.0,1.5119787454605103,1.4964265823364258,0.9507703081232493,0.9665584415584415
12.0,1.5041038990020752,1.486761450767517,0.9574929971988796,0.9756132756132756
13.0,1.5064289569854736,1.488232970237732,0.9553921568627451,0.9740981240981241
14.0,1.504003643989563,1.484804391860962,0.9574929971988796,0.9772366522366522
15.0,1.5040404796600342,1.4849698543548584,0.9575630252100841,0.9768398268398268
16.0,1.5029371976852417,1.4855835437774658,0.9587535014005603,0.9763347763347764
17.0,1.499361276626587,1.479774832725525,0.9619047619047619,0.9817460317460317
18.0,1.5031249523162842,1.4824451208114624,0.9584033613445379,0.9793290043290044
19.0,1.5002336502075195,1.4801952838897705,0.9611344537815126,0.9817099567099568
20.0,1.5002226829528809,1.478626012802124,0.9616946778711485,0.9833694083694083
21.0,1.4988899230957031,1.4774173498153687,0.9624649859943978,0.9840909090909091
22.0,1.4979815483093262,1.4758436679840088,0.9629551820728292,0.9859668109668109
23.0,1.4994248151779175,1.4768725633621216,0.9619747899159664,0.9846320346320346
24.0,1.4967907667160034,1.4747105836868286,0.9647058823529412,0.987012987012987
25.0,1.4950964450836182,1.4741506576538086,0.9658263305322129,0.9873376623376623
26.0,1.497202754020691,1.4748733043670654,0.9644257703081233,0.986976911976912
27.0,1.4977189302444458,1.4772024154663086,0.9638655462184874,0.9845598845598845
28.0,1.494335412979126,1.4730393886566162,0.9668067226890756,0.9882395382395383
29.0,1.4944603443145752,1.4731098413467407,0.9670868347338936,0.9882034632034632
30.0,1.4966274499893188,1.4740718603134155,0.9645658263305322,0.9875541125541125
31.0,1.4943594932556152,1.4720193147659302,0.9668767507002801,0.9894300144300144
32.0,1.49406898021698,1.471318006515503,0.967296918767507,0.990007215007215
33.0,1.4935791492462158,1.4711549282073975,0.9683473389355742,0.9901875901875902
34.0,1.4944801330566406,1.4717869758605957,0.967296918767507,0.9897186147186147
35.0,1.493287205696106,1.470705270767212,0.9682773109243697,0.9906565656565657
36.0,1.494158148765564,1.4709532260894775,0.967156862745098,0.9904040404040404
37.0,1.493287444114685,1.470350742340088,0.9679271708683473,0.991017316017316
38.0,1.4934481382369995,1.4707938432693481,0.9681372549019608,0.9906565656565657
39.0,1.4952349662780762,1.4721734523773193,0.9658263305322129,0.9892135642135642
40.0,1.494192361831665,1.4707016944885254,0.9669467787114846,0.9907647907647907
41.0,1.4914888143539429,1.4699586629867554,0.9700980392156863,0.9914502164502165
42.0,1.4936285018920898,1.4703062772750854,0.967296918767507,0.991017316017316
43.0,1.4933987855911255,1.4699238538742065,0.9676470588235294,0.9914502164502165
44.0,1.4933534860610962,1.4700896739959717,0.9682773109243697,0.9912698412698413
45.0,1.4912563562393188,1.46969735622406,0.9701680672268908,0.9915584415584415
46.0,1.490189552307129,1.4690407514572144,0.9711484593837535,0.9921717171717171
47.0,1.4922871589660645,1.4691327810287476,0.9687675070028011,0.9921356421356421
48.0,1.4916470050811768,1.468582272529602,0.9698179271708683,0.9927128427128427
49.0,1.4898520708084106,1.4687579870224,0.9717787114845938,0.9924242424242424
50.0,1.4919334650039673,1.469688057899475,0.9688375350140056,0.9918470418470419
51.0,1.4943060874938965,1.4708051681518555,0.9668067226890756,0.9902597402597403
